公開/特許番号,公開/登録日,発明の名称,出願番号,出願日,出願人,発明者,要約_課題,要約_解決手段
特開2025-149877,令和7年10月8日,端末及び無線通信方法,特願2025-4009,令和7年1月10日,"['株式会社ＮＴＴドコモ', 'インフォート弁理士法人']","['三井  周', '島  康介', '越後  春陽']",ポジショニングの精度を向上すること。,本開示の一態様に係る端末は、人工知能（ＡＩ）ベースドポジショニングについて端末側でサポートされる機能の報告に対する要求を受信する受信部と、前記サポートされる機能としてＵＥ能力を報告するように制御する制御部と、を有し、ＵＥ能力は、測位方法、モデル、前記ＡＩベースドポジショニングのユースケースごと、あるいは、単一の測位方法として規定される。 【選択図】図６ 請求の範囲 開く 詳細な説明 開く 図面 開く
特開2025-149871,令和7年10月8日,生成的な事前訓練を行なったトランスフォー厶（ＧＥＮＥＲＡＴＩＶＥ  ＰＲＥ－ＴＲＡＩＮＥＤ  ＴＲＡＮＳＦＯＲＭ）のためのグラフベースのインタラクションインターフェース,特願2025-3162,令和7年1月9日,"['ユーアイパス，インコーポレイテッド', '弁理士法人東海特許事務所']","['ピーター  エケ', 'マイロ  シールズ', 'イザベラ  カプリオッティ']",コンピューティング環境内でコンピュータプログラムとして実装される接続エンジンによって遂行される方法を提供する。,生成人工知能（ＡＩ）モードを利用してチャットアシスタントを実行する接続エンジンによる方法は、グラフベースのインタラクションインターフェースを生成することと、グラフベースのインタラクションインターフェース内のノードとしてユーザーとチャットアシスタントとの間のインタラクションを処理することと、グラフベースのインタラクションインターフェースのノード間の接続を確立することと、を含む。前記接続は、ノード間でコンテキストの受け渡しを可能にする。方法はまた、対応するノードのインタラクションの更新をコンテキストとして接続された他のノードに伝播することを含む。 【選択図】なし 請求の範囲 開く 詳細な説明 開く 図面 開く 外国語明細書等 開く
特開2025-149822,令和7年10月8日,販売時点における物体分類および識別,特願2024-193154,令和6年11月1日,"['東芝テック株式会社', '弁理士法人鈴榮特許綜合事務所']",['レアンドロ  モレラ'],販売時点において物体分類および識別を実行するシステムおよび方法を提供する。,１つの例示的な実施形態では、方法は、荷重センサおよび光学センサを有するＰＯＳシステムによって実行される。荷重センサは、ＰＯＳシステムの荷重面上に配置されている間に物体の荷重を測定するように動作可能である。光学センサは、荷重面に関連付けられた視野を有し、画像をキャプチャするように動作可能である。本方法は、キャプチャされた画像からのターゲット物体の物体認識と荷重測定値からのターゲット物体の予測とに基づいて、ターゲット物体の物体分類または識別を可能にするために、ターゲット物体を含む光学センサによってキャプチャされた画像と、ターゲット物体が荷重面上に配置されている間に荷重センサによって実行されるターゲット物体に関連付けられた荷重測定値とを取得することを含む。 【選択図】図１ 請求の範囲 開く 詳細な説明 開く 図面 開く 外国語明細書等 開く
特開2025-149099,令和7年10月8日,分析支援装置、分析支援方法、および分析支援プログラム,特願2024-49543,令和6年3月26日,"['三菱電機株式会社', '高村  順']","['佐藤  幹', '大塚  浩志']",特許情報を分析した結果をより容易に解釈可能な態様で示すことを可能とする分析支援装置を得ること。,分析支援装置３は、特許マップを分析する分析部２２と、特許マップのうち注目すべき領域を特許マップの分析結果に基づいて特定する特定部２３と、特定部２３によって領域が特定された根拠を示す情報が入力され、特定された領域について特許出願を推奨する理由を説明する文を、入力された情報に基づいて生成する生成部２４と、を備える。 【選択図】図３ 請求の範囲 開く 詳細な説明 開く 図面 開く
特開2025-148289,令和7年10月7日,人工知能を利用した航空評価フィードバックレコメンデーションとファインディングマッピング,特願2025-42994,令和7年3月18日,"['ザ・ボーイング・カンパニー', '園田・小林弁理士法人']","['ビスワル，  スシャンタ  クマール', 'レイ，  アビック', 'グプタ，  ヤミニ', 'シュヴァーン，  メル  エリック']",航空会社の評価、コメントの推奨及びファインディング予測マッピング方法等を提供する。,方法は、評価分類エントリフィールド内への第１のユーザ部分エントリに応じて第１の大規模言語モデル（ＬＩＭ）が、評価分類のプロンプトを提供し、そのうちの１つの選択又は代替的な分類のユーザエントリを受け取り、タスク記述の部分エントリに応じて第１のＬＩＭが提案されたタスク記述のプロンプトを提供し、そのうちの１つの選択又は代替的なタスク記述のユーザ入力を受け取り、コメントの部分エントリに応じて、第１のＬＬＭが提案されたコメントの単語のサブセットを含むプロンプトを提供し、そのうちの１つの選択又は代替的なコメントのユーザ入力を受け取り、第２のＬＩＭが評価分類、タスク記述及びコメントに基づいて、予測されたファインディングを提供し、そのうちの１つの選択又は代替的なファインディングのユーザ入力を受け取る。 【選択図】図５ 請求の範囲 開く 詳細な説明 開く 図面 開く 外国語明細書等 開く
特開2025-148271,令和7年10月7日,測定装置を作動させる方法,特願2025-37456,令和7年3月10日,"['ロベルト・ボッシュ・ゲゼルシャフト・ミト・ベシュレンクテル・ハフツング', '大場  玲児', '高橋  始']","['フリッシェン，アンドレアス', 'ケルシュ，アンドレアス', 'ギリアード，アンケ', 'シュガルツ，ハイコ', 'シュトレイル，ヤン  リヌス', 'ボロウスキー，ユーディト', 'フェデラー，ルーカス', 'トロエルチェ，ウーヴェ']",壁診断装置を、作動させる改良された方法を提供する。,本発明は、測定装置（１００）を、特に壁診断装置を、作動させるコンピュータインプリメントされた方法（２００）に関し、測定装置（１００）のレーダーセンサユニット（１０１）のレーダーデータ（１０３）が受信（２０１）されること、測定装置（１００）の診断モジュール（１０７）によってレーダーデータ（１０３）の分析の実行により壁診断が実行（２０３）されること、および診断結果（１０９）が提供されること、診断モジュール（１０７）によって測定装置（１００）の表示ユニット（１１１）に診断結果（１０９）が提供（２０７）されること、ならびに、診断結果（１０９）が表示ユニット（１１１）に表示（２０９）されることを含む。 【選択図】図６ 請求の範囲 開く 詳細な説明 開く 図面 開く 手続補正書 開く 外国語明細書等 開く
特開2025-147527,令和7年10月7日,議事録作成システム,特願2024-47816,令和6年3月25日,"['戸田建設株式会社', '弁理士法人東京アルパ特許事務所']",['安武  祐太'],発話者識別情報を事前登録する手間を削減する。,発話者識別記憶部２４は、発言の発話者を識別するための情報を記憶する。記録記憶部１４は、会議を録音した音声を表す情報を記憶する。発話者識別部２５は、発話者識別記憶部２４が記憶した情報に基づいて、記録記憶部１４が記憶した情報によって表される音声の発話者を識別する。記録再生部５１は、記録記憶部１４が記憶した情報に基づいて、前記音声を再生する。発話者取得部５２は、記録再生部５１が再生した音声について、その音声の発話者についての情報を取得する。発話者識別更新部５５は、発話者取得部５２が取得した情報に基づいて、発話者識別記憶部２４が記憶した情報を更新する。 【選択図】図１ 請求の範囲 開く 詳細な説明 開く 図面 開く
特開2025-147421,令和7年10月7日,廃棄物分類処理装置,特願2024-47669,令和6年3月25日,"['株式会社奥村組', '弁理士法人翔和国際特許事務所']","['羽渕  博臣', '岩下  将也', '鈴木  奨士', '清水  祐也', '大角  藤子']",ごみ等の廃棄物を詳細に分類すること。,屋外に設置され、ベルトコンベアで搬送される廃棄物の種類および量を推定し、廃棄物を分類処理する廃棄物分類処理装置であって、ベルトコンベアを搬送されてくる廃棄物をふるい分けするふるい分け部と、ふるい分けされた廃棄物にハロゲン光を照射して、ハイパースペクトルカメラを用いて撮像した撮像画像から、廃棄物の反射光のスペクトルデータを抽出し、抽出したスペクトルデータに基づいて、ふるい分けされた廃棄物の種類および量を推定する推定部と、ふるい分けされた廃棄物を選別して、種類ごとに分類する分類部と、を備えた。 【選択図】図９ 請求の範囲 開く 詳細な説明 開く 図面 開く
特開2025-146352,令和7年10月3日,人工知能（ＡＩ）／機械学習（ＭＬ）を用いた無線通信のビーム選択の性能を監視するための端末装置、基地局装置、制御方法、及びプログラム,特願2024-47080,令和6年3月22日,"['ＫＤＤＩ株式会社', '弁理士法人大塚国際特許事務所']","['渡辺  大詩', '大関  武雄', '菅野  一生']",基地局装置が使用するビームのＡＩ／ＭＬモデルによる選択手法のための端末装置から基地局装置へのフィードバックを適切に構成すること。,基地局装置から、その基地局装置が形成する複数の第１のビームのそれぞれを用いて送信された参照信号と、複数の第１のビームより少ない数の第２のビームのそれぞれを用いて送信された参照信号との無線品質の測定を行うことができる端末装置は、第２のビームのそれぞれを用いて基地局装置から送信された参照信号の無線品質の第１の測定を行い、第２のビームのそれぞれについて測定された無線品質の少なくとも一部を、機械学習による学習済みモデルへ入力することにより、複数の第１のビームのそれぞれについての予測無線品質を取得し、第１のビームの少なくとも一部を用いて基地局装置から送信された参照信号の無線品質の測定を行い、複数の第１のビームの少なくとも一部について、測定によって得られた実測の無線品質と予測無線品質との差分値に関する情報を、基地局装置へ報告する。 【選択図】 図５ 請求の範囲 開く 詳細な説明 開く 図面 開く
特開2025-144112,令和7年10月2日,サービス提供システム,特願2024-43729,令和6年3月19日,['株式会社フューチャーアイ'],['塚本  豊'],それぞれの特化型学習済モデルの人工知能を用いたサービスをユーザに提供しつつも、それら複数の特化型学習済モデルの人工知能全体を包括した情報提供等の包括的サービスを提供できるようにする。,各コンテンツＡ、Ｂ、Ｃに基づいてそのコンテンツに特化したサービスをユーザ１～５に提供可能な複数のスレーブＡＩ群１１７と、複数のスレーブＡＩと情報のやり取りを行うマスターＡＩ１１６とを備えている。マスターＡＩ１１６は、アクセスしてきたユーザが希望するスレーブ人工知能を当該ユーザが使用可能なスレーブ人工知能の中から選択して使用を許可すると共に、複数のスレーブＡＩ群１１７とやり取りした情報に基づいて、アクセスしてきたユーザが使用可能な複数のスレーブＡＩ全体を包括したサービスを当該ユーザに提供する。 【選択図】図１ 請求の範囲 開く 詳細な説明 開く 図面 開く
特開2025-143387,令和7年10月1日,ワイヤレスネットワークにおける適応無線構成,特願2025-112067,令和7年7月2日,"['マイクロソフト  テクノロジー  ライセンシング，エルエルシー', '弁理士法人ＩＴＯＨ']","['チャクラボーティ、トゥシャー', 'カペタノヴィッチ、ゼリーナ', 'ヴァシシュト、ディーパック', 'チャンドラ、ランヴィール']",ワイヤレスネットワークにおける適応無線構成を提供する。,ワイヤレスネットワークシステムが提供される。ワイヤレスネットワークシステムは、着信パケット伝送信号のプリアンブルの一部から伝送レートを検出し、着信パケット伝送信号の残りをその伝送レートで受信するように無線構成を適応させるように構成された処理回路を含む基地局デバイスを含む。 【選択図】図１ 請求の範囲 開く 詳細な説明 開く 図面 開く 外国語明細書等 開く
特開2025-143221,令和7年10月1日,測定装置,特願2025-37404,令和7年3月10日,"['ロベルト・ボッシュ・ゲゼルシャフト・ミト・ベシュレンクテル・ハフツング', '大場  玲児', '高橋  始']","['フリッシェン，アンドレアス', 'ケルシュ，アンドレアス', 'ギリアード，アンケ', 'モスター，ベンジャミン', 'シュガルツ，ハイコ', 'シュトレイル，ヤン  リヌス', 'フェデラー，ルーカス', 'トロエルチェ，ウーヴェ']",表示された物体タイプを踏まえたうえで、予定されている壁の加工を相応に適合化する。,本発明は、測定装置（１００）、特に壁の診断装置に関し、診断されるべき壁（１０５）のレーダーデータを提供するための少なくとも１つのレーダーセンサユニット（１０１）と、レーダーデータをベースとしたうえで壁診断を実行するための、および診断結果（１０９）を作成するための、診断モジュール（１０７）と、測定装置（１００）の利用者に診断結果（１０９）を表示するための表示ユニット（１１１）とを含み、診断モジュール（１０７）は、レーダーデータをベースとしたうえで壁（１０５）の中に構成されている物体（１１３）を認識するようにセットアップされ、物体認識は、物体位置の決定と、物体（１１３）の物体タイプの分類とを含む。 【選択図】図１ 請求の範囲 開く 詳細な説明 開く 図面 開く 手続補正書 開く 外国語明細書等 開く
特開2025-143206,令和7年10月1日,空港において航空機をモニタリングするためのシステム及び方法,特願2025-26322,令和7年2月21日,"['ザ・ボーイング・カンパニー', '園田・小林弁理士法人']","['バラドヴァージャ，  アジャヤ  スリカンタ', 'ナラシムフル，  ヴィーレシュ  クマール  マサル']",空港における他の構造物に対する航空機の位置をモニタリングするためのシステム及び方法を提供する。,システム（１００）及び方法が、ディスプレイ（１１２）を有するユーザインターフェース（１１０）を含む。制御ユニット（１２０）が、空港（１０６）における１以上の他の構造物に対する航空機（１０２）の位置をモニタリングし、航空機（１０２）モデルを航空機（１０２）の位置に関連付け、１以上の構造物モデル（１２６）を１以上の他の構造物に関連付け、航空機（１０２）モデルと１以上の構造物モデル（１２６）をディスプレイ（１１２）上に表示するように構成されている。 【選択図】図１ 請求の範囲 開く 詳細な説明 開く 図面 開く 外国語明細書等 開く
特開2025-143194,令和7年10月1日,人工知能モデルトレーニングのための燃料電池システムアーキテクチャ,特願2025-9546,令和7年1月23日,"['ブルーム  エネルギー  コーポレイション', '稲葉  良幸', '大貫  敏史', '江口  昭彦', '内藤  和彦']","['パンサヴァスヴァ，プラサド', 'グルナタン，ランガナタン', 'パナティ，ラズヴァン', 'コットゥリ，カールトン', 'パラシャー，ラヴィ', 'スリダール，ケイアール']",人工知能モデルトレーニングのための燃料電池システムアーキテクチャを提供する。,本開示は、大規模な処理集中型タスク、例えば大規模な人工知能モデルのトレーニングプロセスを行う分散型データセンタのための、燃料電池ベースの発電を用いるシステムを対象とする。本システムは、燃料電池によって出力される電力を補うと共に、燃料電池システムによって生成されるいかなる過剰電力も貯蔵するために、エネルギー貯蔵システム、ロードバンク及び他のタイプの負荷などの様々なモジュールを利用する。結果として、燃料電池システムによって出力される電力の振れが最小化され、及び燃料電池システムの寿命が延長され得る。 【選択図】図３ 請求の範囲 開く 詳細な説明 開く 図面 開く 外国語明細書等 開く
特開2025-142712,令和7年10月1日,人工知能（ＡＩ）／機械学習（ＭＬ）を用いた無線通信のビーム選択に適した端末装置、基地局装置、制御方法、及びプログラム,特願2024-42223,令和6年3月18日,"['ＫＤＤＩ株式会社', '弁理士法人大塚国際特許事務所']","['渡辺  大詩', '大関  武雄', '菅野  一生']",基地局装置が使用するビームのＡＩ／ＭＬモデルによる選択手法のための端末装置から基地局装置へのフィードバックを適切に構成すること。,端末装置は、基地局装置から、所定のビームを用いて送信された参照信号を複数のタイミングにおいて測定して、第１のタイミングについての第１の測定結果と第２のタイミングについての第２の測定結果とを含んだ所定のビームについての無線品質の複数の測定結果を取得し、第２の測定結果の値と第１の測定結果の報告値との差分値を少なくとも含んだ報告メッセージを基地局装置へ送信する。 【選択図】 図４ 請求の範囲 開く 詳細な説明 開く 図面 開く
特開2025-142560,令和7年10月1日,情報処理システム、情報処理方法及びプログラム,特願2024-41997,令和6年3月18日,"['株式会社マネーフォワード', '弁理士法人ＩＰＸ']","['山内  健太', '家入  雄樹']",複数の名称を複数のグループに分類することができる情報処理システム等を提供する。,本発明の一態様によれば、少なくとも１以上のプロセッサを備える情報処理システムが提供される。この情報処理システムでは、プロセッサが、入力ステップでは、分類対象となる複数の名称をベクトル化手段に入力する。ベクトル化手段は、入力された文字列をベクトルに変換する手段であり、文字列が表す意味が近いほど距離が近くなるベクトルを生成する。分類ステップでは、複数の名称から生成された複数のベクトルの各々の間の距離に基づいて、当該複数の名称を複数のグループに分類する。 【選択図】図１ 請求の範囲 開く 詳細な説明 開く 図面 開く
特許第7746622号,令和7年9月19日,道路災害対応支援システムおよびプログラム、道路管理方法,特願2025-76956,令和7年5月2日,['葛西  章史'],['葛西  章史'],地震、豪雨等の災害時における道路通行の支障、路面下空洞等によるインフラリスクの予兆把握を困難とする従来技術に対し、異種センシング情報を活用して災害対応とインフラ管理を高精度かつ効率的に行う支援システムが求められている。,本発明は、パトロール、衛星、光ファイバ、車両走行、気象等の複数のセンシング情報を情報取得部で取得し、分析部が統合分析またはＡＩ解析を実施し、決定部が道路災害対応またはインフラメンテナンスの必要性を判断する構成を有する。更に、必要に応じて予測部、改善部、道路啓開部、ロボティクス部と連携し、緊急対応支援や復旧作業の自動化を可能とする。 【選択図】図１ 請求の範囲 開く 詳細な説明 開く 図面 開く
抽出不可,抽出不可,抽出不可,抽出不可,抽出不可,['抽出不可'],['抽出不可'],抽出不可,抽出不可
特許第7746466号,令和7年9月19日,監視盤操作装置、及び監視盤操作システム,特願2024-98105,令和6年6月18日,"['東芝エレベータ株式会社', '弁理士法人酒井国際特許事務所']","['江守  教人', '鈴木  英光']",監視員による監視盤の操作ミスを抑制すること。,実施形態の監視盤操作装置は、エレベータシステムを監視する監視盤に付帯する入力装置から監視盤に入力される入力情報を取得し、監視盤に付帯する表示装置へと監視盤から出力される画像情報を取得して、人工知能を用いた処理を行うＡＩ処理部と、ＡＩ処理部による処理結果を参照しつつ、監視盤に対して入力されたコマンドに基づきエレベータシステムに対する制御内容を特定するプロンプト操作実行部と、特定された制御内容を実行するために、監視盤に対して行う操作内容を規定した操作情報と、操作情報にしたがって監視盤の操作が行われる間、表示装置に操作内容に応じた画像を表示させるための模擬画像とを、ＡＩ処理部による処理結果を参照しつつ生成し、監視盤に対して出力する操作情報生成部と、を備える。 【選択図】図１ 請求の範囲 開く 詳細な説明 開く 図面 開く
特許第7745848号,令和7年9月19日,プログラム、方法、情報処理装置、システム,特願2025-52909,令和7年3月27日,"['ファインディ株式会社', 'ＩＰＴｅｃｈ弁理士法人']","['稲葉  将一', '笹野  翔太', '奥田  堯子']",事業者が顧客等との接点を介して収集した情報を好適に活用するプログラムを提供する。,プロセッサと、記憶部とを備えるコンピュータに実行させるためのプログラムであって、プロセッサが、Ｓ１０１において、顧客に関する顧客接点情報を取得する顧客接点情報取得ステップと、Ｓ１０２において、顧客接点情報から製品またはサービスに関する要求情報を抽出する指示と、顧客接点情報取得ステップにおいて取得した顧客接点情報と、を人工知能システムへ入力する第１入力ステップと、第１入力ステップに対して人工知能システムから出力される要求情報を取得する要求情報取得ステップと、を実行する。 【選択図】図７ 請求の範囲 開く 詳細な説明 開く 図面 開く
特開2025-142014,令和7年9月29日,支援システム,特願2025-117668,令和7年7月12日,['株式会社フューチャーアイ'],['塚本  豊'],提供されるサービスのパーソナライズ化によりユーザにマッチするサービスの提供を可能にする。,ユーザが、一般的な対話を行うための対話モデルにより対話しているときに（Ｓ２３５～Ｓ２４６、Ｓ２４７でＮＯ、Ｓ２４９でＮＯ）、対話内容に応じて前記タスク処理モデルに交代して対話し（Ｓ２４７でＮＯ、Ｓ２４８）、タスク処理モデルが有する特定分野に特化した知識を利用できるようにする。また、対話モデルによる個別のユーザとの対話を通して、前記対話モデルを当該個別のユーザに適した対話モデルにパーソナライズ化する（Ｓ２４５でＹＥＳ、Ｓ２４６）。 【選択図】図２０ 請求の範囲 開く 詳細な説明 開く 図面 開く
特開2025-141880,令和7年9月29日,トレーニングデータセットを生成する方法,特願2025-37482,令和7年3月10日,"['ロベルト・ボッシュ・ゲゼルシャフト・ミト・ベシュレンクテル・ハフツング', '大場  玲児', '高橋  始']","['フリッシェン，アンドレアス', 'ケルシュ，アンドレアス', 'ギリアード，アンケ', 'モスター，ベンジャミン', 'シュガルツ，ハイコ', 'シュトレイル，ヤン  リヌス', 'フシュカ，レオン', 'フェデラー，ルーカス', 'トロエルチェ，ウーヴェ']",測定装置の正確な位置決定,測定装置（１００）、特に壁診断装置を作動させるための人工知能のトレーニングのためのトレーニングデータセットを生成するコンピュータインプリメントされた方法に関し、測定装置の少なくとも１つのセンサユニット（１０１）のセンサデータが記録されること、壁（１０５）に対して相対的な測定装置の位置決定が実行されること、および位置付随的なセンサデータが位置判定システムによって生成されること、グラウンドトゥルース情報を考慮したうえで位置付随的なセンサデータがラベリングされること、およびラベリングされたセンサデータが生起されること、ならびに、ラベリングされたセンサデータがトレーニングデータセットをなすように統合されることを含む。本発明は、人工知能をトレーニングする方法に関する。 【選択図】図１ 請求の範囲 開く 詳細な説明 開く 図面 開く 手続補正書 開く 外国語明細書等 開く
特開2025-141794,令和7年9月29日,敵対的ロバスト性のための離散入力の変換のためのシステムおよび方法,特願2024-225979,令和6年12月23日,"['三菱電機株式会社', '弁理士法人深見特許事務所']","['ワン，イェ', 'リウ，ジン', '秋濃  俊昭', 'パーソンズ，キーラン']",実施形態は、ニューラルネットワークを用いた離散入力のロバストな変換のための方法およびシステムを開示する。,ニューラルネットワークは、埋め込みサブネットワークおよび変換サブネットワークを含む。本方法は、埋め込みサブネットワークを使用して連続空間に離散入力を埋め込んで連続埋め込みを生成することと、連続埋め込みに所定の大きさのランダムノイズのセットを注入して、摂動された埋め込みのセットを生成することと、摂動された埋め込みのセットの各々を変換サブネットワークで処理して変換のセットを生成することと、変換のセットの組合せを離散入力のロバストな変換として出力することとを含む。 【選択図】図５ 請求の範囲 開く 詳細な説明 開く 図面 開く 外国語明細書等 開く
特開2025-141730,令和7年9月29日,生成型人工知能室内空気浄化システム,特願2024-60964,令和6年4月4日,"['研能科技股▲ふん▼有限公司', 'ＳＫ弁理士法人', '奥野  彰彦', '伊藤  寛之']","['莫皓然', '呉錦銓', '黄啓峰']",生成型人工知能室内空気浄化システムを提供する。,記憶部と空気品質検出器とアプリケーション（ＡＰＰ）ソフトウェアと演算部と気体浄化装置ハードウェアとを備える。演算部は生成型人工知能モデルを含み、保存された専用生成データとユーザー生成データとを物聯網により取得し、深層学習処理を行って自動生成データを形成する。気体浄化装置ハードウェアは物聯網を介して演算部が生成した自動生成データに基づいて送信した制御コマンドを受信し、引導・循環・濾過を行い、室内環境をクリーンルーム等級に浄化する。 【選択図】図１ 請求の範囲 開く 詳細な説明 開く 図面 開く 外国語明細書等 開く
特開2025-141642,令和7年9月29日,ブロックチェーンを用いた閲覧履歴の保存方法,特願2024-41662,令和6年3月15日,['特定非営利活動法人ｅ自警ネットワーク研究会'],"['藤井  雄作', '太田  直哉']",運営者でさえ改変が非常に困難な保存方法であるブロックチェーンを用いることで，「閲覧履歴の完全なる保存」が，より確実に行えるようにすることを課題とする．,カメラで撮影された画像ファイルへのアクセス履歴，および／または，当該画像ファイルに対して人工知能（AI）システム等による画像解析の結果として得られた情報へのアクセス履歴を，ブロックチェーンにより保存することを特徴とする，カメラシステムである． 【選択図】図１ 請求の範囲 開く 詳細な説明 開く 図面 開く 手続補正書 開く
特開2025-138670,令和7年9月25日,クラウドソーシングデータの臨床的キュレーションのためのシステム及び方法,特願2025-94120,令和7年6月5日,"['クリック  セラピューティクス  インコーポレイテッド', '▲吉▼田  和彦', '須田  洋之', '大塚  文昭', '近藤  直樹', '那須  威夫', '鈴木  信彦', '工藤  嘉晃']","['ブラウン  マイケル', 'ヴァインガルト  ケネス  アール', 'アーレンス  ジリアン  クリスティーン', 'カーサンスキ  ブレント  ポール']",重篤な病状の治療のために臨床的にキュレートされるデータベースを実装して管理するシステム及び方法を提供する。,方法は、患者が生成したフリーテキストデータを含む入力データを患者装置から取得し、入力データを分析して、入力データが所定の関連性基準を満たしているかどうかを判定し、入力データを臨床的にキュレートされるデータベース内の臨床データと比較して比較データを生成し、比較データに基づき入力データが、所定の関連性基準を満たし、かつ、臨床データと十分に異なる場合、臨床的にキュレートされるデータベースに入力データを追加し、所定の関連性基準を満たし、かつ、臨床データに十分に類似していることを比較データが示す場合、入力データを臨床データに融合させ、入力データが所定の関連性基準を満たさないと判定した場合、何の動作も行わない、というキュレーション動作のうちの少なくとも１つを実行する。 【選択図】図６ 請求の範囲 開く 詳細な説明 開く 図面 開く 手続補正書 開く 外国語明細書等 開く
特開2025-138628,令和7年9月25日,液浸冷却プラットフォームおよびその構成要素,特願2025-83381,令和7年5月19日,"['モディーン  エルエルシー', '小林  浩', '大森  規雄', '中村  佳正']","['キング，エドワード', 'パーカー，ラクエル', 'パテル，ダルシャン', 'コバーン，ランダル', 'ヘイリー，ジョシュ', 'グラハム，ライアン', 'エリクソン，ジェイソン', 'マーテル，ジェイコブ', 'モーニック，テイラー', 'ホート，ブライアン', 'マイレ，ライアン', 'ボレン，ウィリアム  ブレット', 'ダウンズ，アンドリュー', 'イェットマン，ダスティン', 'エンライト，ジョン  デイビット', 'マージェリソン，リッキ', 'シャー，ジミル  エム．', 'ハダラ，ウィリアム', 'ウィテイカー，ジョシュ', 'イーガン，シーマス', 'ファーニッシュ，ブラッド', 'トムリン，ティム']",計算デバイスを収容するように適合された液浸冷却システムの温度を最適化する。,液浸冷却システム１００は、熱伝導性であり凝縮性である誘電性流体１１３を保持するベッセル１０５と、ベッセル１０５の内部圧力を低下または増大させるための圧力制御装置１１７と、誘電性流体１１３に少なくとも部分的に浸水させられるコンピュータ構成要素１１４と、ベッセル１０５の溜め槽エリア１１２と、溜め槽エリア１１２から誘電性流体１１３を引き入れてフィルター１１８を通るように誘電性流体１１３を通過させ、誘電性流体１１３をベッセル１０５の溶液槽エリア１１１に送るポンプ１１５と、を備える。 【選択図】図１ 請求の範囲 開く 詳細な説明 開く 図面 開く 手続補正書 開く 外国語明細書等 開く
特開2025-138611,令和7年9月25日,測定装置を運転する方法,特願2025-37283,令和7年3月10日,"['ロベルト・ボッシュ・ゲゼルシャフト・ミト・ベシュレンクテル・ハフツング', '大場  玲児', '高橋  始']","['ケルシュ，アンドレアス', 'フリッシェン，アンドレアス', 'ギリアード，アンケ', 'モスター，ベンジャミン', 'シュガルツ，ハイコ', 'シュトレイル，ヤン  リヌス', 'メスナー，ヨナス', 'ヴィンターハルター，ユルゲン', 'ロウ，カキット', 'フェデラー，ルーカス', 'ブラント，ミヒャエル', 'リンガダハリ  ヴィタル，サチン', 'クラーネ，シュテファン', 'トロエルチェ，ウーヴェ']",精緻な壁診断の提供,壁診断装置を運転する方法であって、測定装置（１００）のレーダセンサユニット（１０１）のレーダデータを受信し、このとき、レーダデータは、診断したい壁（１０５）をマッピングしており、レーダデータの分析の実施により壁診断を実施し、診断結果（１０９）を測定装置（１００）の診断モジュール（１０７）により提供し、このとき、壁診断は、壁内に配置されたオブジェクト（１１３）のオブジェクト認識を診断モジュールにより実施し、このとき、オブジェクト認識は、オブジェクト検知と、オブジェクト分類と、を包含し、かつ診断モジュールの診断結果（１０９）を測定装置の表示ユニット（１１１）に、診断結果を測定装置の使用者に対して表示すべく提供し、このとき、診断結果は、少なくとも１つの、壁（１０５）内のオブジェクト位置（１１５）と、オブジェクトのオブジェクトタイプと、を包含する。 【選択図】図１ 請求の範囲 開く 詳細な説明 開く 図面 開く 手続補正書 開く 外国語明細書等 開く
特開2025-137686,令和7年9月19日,画像生成モデルのトレーニング方法、デジタル人物画像の生成方法及びその装置、電子デバイス並びにプログラム,特願2025-122064,令和7年7月22日,"['ベイジン  バイドゥ  ネットコム  サイエンス  テクノロジー  カンパニー  リミテッド', '弁理士法人太陽国際特許事務所']","['王雪松', '楊瑞', '張暁東']",本開示は、画像生成モデルのトレーニング方法、デジタル人物画像の生成方法及びその装置、電子デバイス並びにプログラムを提供し、特に人工知能、大規模モデル、ビッグデータなどの技術分野に関する。,具体的な解決策は、目標顔に対するＮ個の目標顔画像を取得することであって、ここで、Ｎは１より大きい整数である、ことと、Ｎ個の目標顔画像と少なくとも１つの目標背景画像とをプリセット画像生成モデルに入力し、目標顔と各目標背景画像が融合した目標デジタル人物画像を得ることと、目標デジタル人物画像における第１顔特徴と目標顔画像における目標顔の第２顔特徴との間の差異の度合いに基づいて、プリセット画像生成モデルに対してトレーニングを行い、目標画像生成モデルを得ることと、を含む。 【選択図】図１ 請求の範囲 開く 詳細な説明 開く 図面 開く
特許第7741586号,令和7年9月9日,ＡＩによるランディングページ（ＬＰ）を生成するための情報処理システム、情報処理方法及びプログラム,特願2024-143695,令和6年8月23日,"['合同会社ＦＩＥＬＤ', '大杉  肇']","['山本  祐也', '佐藤  尚彦', '▲高▼井  彬']",簡単に質の高いランディングページを生成する情報処理システム等を提供する。,本発明の一態様によれば、ランディングページを生成するための情報処理システムであって、少なくとも１つのプロセッサを備え、プロセッサは、プログラムを読み出すことで次の各ステップを実行するように構成され、受付ステップでは、複数のテンプレートの選択と、ランディングページの内容に関する入力とを受け付け、複数のテンプレートは、ランディングページを複数のブロックに分割した際のブロックそれぞれに対応して作成されており、生成ステップでは、選択された複数のテンプレートに、入力に応じ人工知能モジュールにより生成された情報である挿入情報が挿入された態様で、ランディングページを生成する、情報処理システムが提供される。 【選択図】図１ 請求の範囲 開く 詳細な説明 開く 図面 開く
